"ticker","baseCurrency","quoteCurrency","date","open","high","low","close","volume","volumeNotional","tradesDone","crypto","n","price"
"dogebtc","doge","btc",2021-01-27 00:00:00,2.5e-07,2.5e-07,2.5e-07,2.5e-07,10003,0.00250075,2,"Dogecoin",2,0.00669447485589436
"dogebtc","doge","btc",2021-01-27 00:01:00,2.5e-07,2.6e-07,2.5e-07,2.6e-07,42717,0.01110642,2,"Dogecoin",2,0.00695813464452972
"dogebtc","doge","btc",2021-01-27 00:03:00,2.6e-07,2.6e-07,2.6e-07,2.6e-07,933,0.00024258,1,"Dogecoin",2,0.00693973949023448
"dogebtc","doge","btc",2021-01-27 00:04:00,2.6e-07,2.6e-07,2.6e-07,2.6e-07,628,0.00016328,1,"Dogecoin",2,0.0069272604689081
"dogebtc","doge","btc",2021-01-27 00:05:00,2.5e-07,2.6e-07,2.5e-07,2.6e-07,18007,0.00468182,2,"Dogecoin",2,0.00691529710326119
"dogebtc","doge","btc",2021-01-27 00:07:00,2.5e-07,2.5e-07,2.5e-07,2.5e-07,6007,0.00150175,1,"Dogecoin",2,0.006648269405463
"dogebtc","doge","btc",2021-01-27 00:09:00,2.5e-07,2.5e-07,2.5e-07,2.5e-07,12475,0.00311875,1,"Dogecoin",2,0.00664089516264673
"dogebtc","doge","btc",2021-01-27 00:10:00,2.5e-07,2.5e-07,2.5e-07,2.5e-07,490,0.0001225,1,"Dogecoin",2,0.00665094643136921
"dogebtc","doge","btc",2021-01-27 00:11:00,2.5e-07,2.5e-07,2.5e-07,2.5e-07,1500,0.000375,1,"Dogecoin",2,0.00664519993196294
"dogebtc","doge","btc",2021-01-27 00:14:00,2.5e-07,2.6e-07,2.5e-07,2.6e-07,3000,0.00078,2,"Dogecoin",2,0.00690758550793654
"dogebtc","doge","btc",2021-01-27 00:15:00,2.5e-07,2.6e-07,2.5e-07,2.6e-07,6915,0.0017979,2,"Dogecoin",2,0.0069034862
"dogebtc","doge","btc",2021-01-27 00:16:00,2.5e-07,2.5e-07,2.5e-07,2.5e-07,6007,0.00150175,1,"Dogecoin",2,0.00664742744085433
"dogebtc","doge","btc",2021-01-27 00:17:00,2.6e-07,2.6e-07,2.6e-07,2.6e-07,1610,0.0004186,1,"Dogecoin",2,0.00690828729021765
"dogebtc","doge","btc",2021-01-27 00:18:00,2.5e-07,2.6e-07,2.5e-07,2.5e-07,20218,0.0050545,4,"Dogecoin",2,0.00690274
"dogebtc","doge","btc",2021-01-27 00:19:00,2.5e-07,2.5e-07,2.5e-07,2.5e-07,475,0.00011875,1,"Dogecoin",2,0.00663375
"dogebtc","doge","btc",2021-01-27 00:20:00,2.5e-07,2.5e-07,2.5e-07,2.5e-07,98688,0.024672,1,"Dogecoin",2,0.0066342630276
"dogebtc","doge","btc",2021-01-27 00:21:00,2.59999992134661e-07,2.59999992134661e-07,2.59999992134661e-07,2.59999992134661e-07,50856.04,0.01322257,3,"Dogecoin",2,0.00690988984045781
"dogebtc","doge","btc",2021-01-27 00:22:00,2.59999945511808e-07,2.59999945511808e-07,2.5e-07,2.5e-07,7341.04,0.00183526,3,"Dogecoin",2,0.006903258553284
"dogebtc","doge","btc",2021-01-27 00:26:00,2.59971544130577e-07,2.59971544130577e-07,2.59971544130577e-07,2.59971544130577e-07,2502.12,0.00065048,4,"Dogecoin",2,0.00690589350275786
"dogebtc","doge","btc",2021-01-27 00:27:00,2.5e-07,2.6e-07,2.5e-07,2.5e-07,22656,0.005664,3,"Dogecoin",2,0.00690924
"dogebtc","doge","btc",2021-01-27 00:30:00,2.5e-07,2.6e-07,2.5e-07,2.6e-07,305385,0.0794001,4,"Dogecoin",2,0.00693966
"dogebtc","doge","btc",2021-01-27 00:31:00,2.5e-07,2.5e-07,2.5e-07,2.5e-07,13444,0.003361,1,"Dogecoin",2,0.0066755
"dogebtc","doge","btc",2021-01-27 00:33:00,2.5e-07,2.6e-07,2.5e-07,2.6e-07,2387,0.00062062,2,"Dogecoin",2,0.00691508140650146
"dogebtc","doge","btc",2021-01-27 00:34:00,2.5e-07,2.5e-07,2.5e-07,2.5e-07,49825,0.01245625,3,"Dogecoin",2,0.00664540517443232
"dogebtc","doge","btc",2021-01-27 00:35:00,2.6e-07,2.6e-07,2.6e-07,2.6e-07,11445,0.0029757,2,"Dogecoin",2,0.00691526535799784
"dogebtc","doge","btc",2021-01-27 00:36:00,2.5e-07,2.5e-07,2.5e-07,2.5e-07,20392,0.005098,2,"Dogecoin",2,0.00664575045077112
"dogebtc","doge","btc",2021-01-27 00:37:00,2.6e-07,2.6e-07,2.6e-07,2.6e-07,8059,0.00209534,1,"Dogecoin",2,0.00690055681076289
"dogebtc","doge","btc",2021-01-27 00:38:00,2.5e-07,2.6e-07,2.5e-07,2.6e-07,23204,0.00603304,3,"Dogecoin",2,0.00686139281947454
"dogebtc","doge","btc",2021-01-27 00:40:00,2.5e-07,2.6e-07,2.5e-07,2.6e-07,21535,0.0055991,2,"Dogecoin",2,0.00683794910918572
"dogebtc","doge","btc",2021-01-27 00:41:00,2.6e-07,2.6e-07,2.6e-07,2.6e-07,908,0.00023608,1,"Dogecoin",2,0.00685777533188222
"dogebtc","doge","btc",2021-01-27 00:42:00,2.5e-07,2.5e-07,2.5e-07,2.5e-07,25021,0.00625525,1,"Dogecoin",2,0.00659002834100701
"dogebtc","doge","btc",2021-01-27 00:43:00,2.6e-07,2.6e-07,2.6e-07,2.6e-07,296916,0.07719816,3,"Dogecoin",2,0.0068557892
"dogebtc","doge","btc",2021-01-27 00:45:00,2.5e-07,2.5e-07,2.5e-07,2.5e-07,2172,0.000543,2,"Dogecoin",2,0.00660012521344385
"dogebtc","doge","btc",2021-01-27 00:46:00,2.6e-07,2.6e-07,2.5e-07,2.5e-07,2279,0.00056975,2,"Dogecoin",2,0.0068687944
"dogebtc","doge","btc",2021-01-27 00:47:00,2.5e-07,2.5e-07,2.5e-07,2.5e-07,1001,0.00025025,1,"Dogecoin",2,0.006607815
"dogebtc","doge","btc",2021-01-27 00:48:00,2.5e-07,2.5e-07,2.5e-07,2.5e-07,531,0.00013275,1,"Dogecoin",2,0.00660331867153081
"dogebtc","doge","btc",2021-01-27 00:49:00,2.5e-07,2.6e-07,2.5e-07,2.6e-07,54967,0.01429142,2,"Dogecoin",2,0.00686397888952772
"dogebtc","doge","btc",2021-01-27 00:50:00,2.6e-07,2.6e-07,2.6e-07,2.6e-07,639,0.00016614,1,"Dogecoin",2,0.00686826802713387
"dogebtc","doge","btc",2021-01-27 00:52:00,2.6e-07,2.6e-07,2.6e-07,2.6e-07,3001,0.00078026,1,"Dogecoin",2,0.00687206164678173
"dogebtc","doge","btc",2021-01-27 00:55:00,2.6e-07,2.6e-07,2.6e-07,2.6e-07,38326,0.00996476,5,"Dogecoin",2,0.00687420753094968
"dogebtc","doge","btc",2021-01-27 00:56:00,2.6e-07,2.6e-07,2.6e-07,2.6e-07,3e+06,0.78,1,"Dogecoin",2,0.00687216685994828
"dogebtc","doge","btc",2021-01-27 00:57:00,2.5e-07,2.6e-07,2.5e-07,2.6e-07,95923,0.02493998,2,"Dogecoin",2,0.00688238246279813
"dogebtc","doge","btc",2021-01-27 01:00:00,2.50266796657659e-07,2.6e-07,2.50266796657659e-07,2.6e-07,14994.03586537,0.0038984493249962,3,"Dogecoin",2,0.00693029122779646
"dogebtc","doge","btc",2021-01-27 01:01:00,2.6e-07,2.6e-07,2.6e-07,2.6e-07,21426,0.00557076,2,"Dogecoin",2,0.00694350852979099
"dogebtc","doge","btc",2021-01-27 01:02:00,2.6e-07,2.6e-07,2.6e-07,2.6e-07,48586,0.01263236,2,"Dogecoin",2,0.00693612217145273
"dogebtc","doge","btc",2021-01-27 01:03:00,2.5e-07,2.5e-07,2.5e-07,2.5e-07,1093,0.00027325,1,"Dogecoin",2,0.00665876738251445
"dogebtc","doge","btc",2021-01-27 01:04:00,2.5e-07,2.5e-07,2.5e-07,2.5e-07,1118,0.0002795,1,"Dogecoin",2,0.00664502274318882
"dogebtc","doge","btc",2021-01-27 01:05:00,2.5e-07,2.6e-07,2.5e-07,2.6e-07,19701,0.00512226,2,"Dogecoin",2,0.0069043645123772
"dogebtc","doge","btc",2021-01-27 01:08:00,2.5e-07,2.6e-07,2.5e-07,2.6e-07,26623,0.00692198,2,"Dogecoin",2,0.00690089911780347
"dogebtc","doge","btc",2021-01-27 01:09:00,2.6e-07,2.6e-07,2.6e-07,2.6e-07,25000,0.0065,1,"Dogecoin",2,0.00689259679716276
"dogebtc","doge","btc",2021-01-27 01:10:00,2.6e-07,2.6e-07,2.51415827370278e-07,2.51415827370278e-07,13770.69230769,0.0034621699999994,3,"Dogecoin",2,0.00688774918251046
"dogebtc","doge","btc",2021-01-27 01:11:00,2.6e-07,2.6e-07,2.6e-07,2.6e-07,2511,0.00065286,2,"Dogecoin",2,0.0068902678
"dogebtc","doge","btc",2021-01-27 01:12:00,2.6e-07,2.6e-07,2.6e-07,2.6e-07,7540,0.0019604,3,"Dogecoin",2,0.0068935932
"dogebtc","doge","btc",2021-01-27 01:13:00,2.6e-07,2.6e-07,2.6e-07,2.6e-07,7453,0.00193778,3,"Dogecoin",2,0.00690161924249677
"dogebtc","doge","btc",2021-01-27 01:14:00,2.5e-07,2.5e-07,2.5e-07,2.5e-07,41169,0.01029225,1,"Dogecoin",2,0.0066264375
"dogebtc","doge","btc",2021-01-27 01:18:00,2.6e-07,2.6e-07,2.6e-07,2.6e-07,17400,0.004524,3,"Dogecoin",2,0.0068765814
"dogebtc","doge","btc",2021-01-27 01:19:00,2.6e-07,2.6e-07,2.6e-07,2.6e-07,2875,0.0007475,1,"Dogecoin",2,0.0068841994
"dogebtc","doge","btc",2021-01-27 01:20:00,2.6e-07,2.6e-07,2.6e-07,2.6e-07,32315,0.0084019,4,"Dogecoin",2,0.0068854344
"dogebtc","doge","btc",2021-01-27 01:22:00,2.6e-07,2.6e-07,2.6e-07,2.6e-07,0.07692306,1.99999956e-08,1,"Dogecoin",2,0.00688405454422344
"dogebtc","doge","btc",2021-01-27 01:23:00,2.6e-07,2.6e-07,2.6e-07,2.6e-07,11216,0.00291616,2,"Dogecoin",2,0.00689480457921203
"dogebtc","doge","btc",2021-01-27 01:25:00,2.6e-07,2.6e-07,2.6e-07,2.6e-07,9363,0.00243438,1,"Dogecoin",2,0.00688266700332649
"dogebtc","doge","btc",2021-01-27 01:26:00,2.6e-07,2.6e-07,2.5e-07,2.5e-07,15450,0.0038625,2,"Dogecoin",2,0.00687783214635213
"dogebtc","doge","btc",2021-01-27 01:28:00,2.6e-07,2.6e-07,2.6e-07,2.6e-07,5000,0.0013,1,"Dogecoin",2,0.0068905386392151
"dogebtc","doge","btc",2021-01-27 01:30:00,2.6e-07,2.6e-07,2.6e-07,2.6e-07,7543.07692306,0.0019611999999956,4,"Dogecoin",2,0.00688800396242172
"dogebtc","doge","btc",2021-01-27 01:31:00,2.6e-07,2.6e-07,2.6e-07,2.6e-07,1542,0.00040092,1,"Dogecoin",2,0.00689298322977925
"dogebtc","doge","btc",2021-01-27 01:33:00,2.5e-07,2.6e-07,2.5e-07,2.6e-07,1321,0.00034346,2,"Dogecoin",2,0.00689446061893513
"dogebtc","doge","btc",2021-01-27 01:34:00,2.5e-07,2.5e-07,2.5e-07,2.5e-07,3.16,7.9e-07,1,"Dogecoin",2,0.00662864980450586
"dogebtc","doge","btc",2021-01-27 01:35:00,2.6e-07,2.6e-07,2.6e-07,2.6e-07,91267,0.02372942,2,"Dogecoin",2,0.00689428609229041
"dogebtc","doge","btc",2021-01-27 01:37:00,2.56940550884907e-07,2.6e-07,2.56940550884907e-07,2.6e-07,15796.96153846,0.0041072099999996,3,"Dogecoin",2,0.00687353076451471
"dogebtc","doge","btc",2021-01-27 01:38:00,2.6e-07,2.6e-07,2.6e-07,2.6e-07,7140,0.0018564,1,"Dogecoin",2,0.00691305503200515
