"ticker","date","open","high","low","close","volume"
"TSLA",2020-05-01 13:30:00,754.965,762.53,754.965,762.44,786
"TSLA",2020-05-01 13:31:00,760.05,760.05,755.32,759.2,811
"TSLA",2020-05-01 13:32:00,758.42,759.99,756.795,759.99,854
"TSLA",2020-05-01 13:33:00,757.96,764.85,756.22,764.85,760
"TSLA",2020-05-01 13:34:00,766.3,772.55,765.44,771.565,3752
"TSLA",2020-05-01 13:35:00,771.17,771.19,767.64,769.57,4960
"TSLA",2020-05-01 13:36:00,770.3,770.37,768.31,768.865,2305
"TSLA",2020-05-01 13:37:00,769.06,769.06,765.12,766.05,2453
"TSLA",2020-05-01 13:38:00,766.32,767.305,764.3,765.15,957
"TSLA",2020-05-01 13:39:00,765.51,765.54,761.045,761.045,878
"TSLA",2020-05-01 13:40:00,761.045,763.05,759.01,759.01,1047
"TSLA",2020-05-01 13:41:00,759.19,760,758.525,759.63,805
"TSLA",2020-05-01 13:42:00,761.42,762.6,760.58,760.58,505
"TSLA",2020-05-01 13:43:00,756.31,756.39,753.8,753.95,451
"TSLA",2020-05-01 13:44:00,753.43,753.51,751.58,752.635,527
"TSLA",2020-05-01 13:45:00,754.88,754.88,753.27,753.27,795
"TSLA",2020-05-01 13:46:00,751.79,751.85,747.095,747.225,1789
"TSLA",2020-05-01 13:47:00,749.04,751.22,748.7,749.1,942
"TSLA",2020-05-01 13:48:00,749.1,749.1,749.1,749.1,0
"TSLA",2020-05-01 13:49:00,750.25,751.66,750.25,751.23,471
"TSLA",2020-05-01 13:50:00,751,751,747.38,747.38,259
"TSLA",2020-05-01 13:51:00,746.1,746.495,745,745.02,524
"TSLA",2020-05-01 13:52:00,743.71,745.24,743.71,744.5,261
"TSLA",2020-05-01 13:53:00,741.96,744.37,741.91,744.37,1149
"TSLA",2020-05-01 13:54:00,742.36,742.36,741.7,741.96,1771
"TSLA",2020-05-01 13:55:00,744.38,744.38,743.86,744.17,200
"TSLA",2020-05-01 13:56:00,747.65,747.885,747.65,747.885,18
"TSLA",2020-05-01 13:57:00,749.41,750.01,748.72,749.56,700
"TSLA",2020-05-01 13:58:00,749.56,749.56,749.56,749.56,0
"TSLA",2020-05-01 13:59:00,749.36,749.36,749.08,749.08,200
"TSLA",2020-05-01 14:00:00,749.48,753.805,749.48,753.805,1703
"TSLA",2020-05-01 14:01:00,755.93,757.33,755.93,757.07,503
"TSLA",2020-05-01 14:02:00,756.655,756.705,755.315,755.315,303
"TSLA",2020-05-01 14:03:00,755.06,755.205,753.89,753.89,620
"TSLA",2020-05-01 14:04:00,750.14,750.75,750.14,750.75,381
"TSLA",2020-05-01 14:05:00,750.99,751.75,749.22,751.665,621
"TSLA",2020-05-01 14:06:00,754.86,754.86,754.41,754.41,200
"TSLA",2020-05-01 14:07:00,753.795,753.795,752.78,752.78,220
"TSLA",2020-05-01 14:08:00,751.86,752.505,751.86,752.44,208
"TSLA",2020-05-01 14:09:00,750.605,750.98,748.73,748.73,556
"TSLA",2020-05-01 14:10:00,746.85,748.125,746.85,748.125,311
"TSLA",2020-05-01 14:11:00,748.87,748.87,748.87,748.87,100
"TSLA",2020-05-01 14:12:00,748.87,748.87,748.87,748.87,0
"TSLA",2020-05-01 14:13:00,751.3,751.3,751.01,751.01,201
"TSLA",2020-05-01 14:14:00,751.47,753.78,751.47,753.78,308
"TSLA",2020-05-01 14:15:00,754.27,754.27,754.27,754.27,3
"TSLA",2020-05-01 14:16:00,754.7,755.54,752.985,752.985,305
"TSLA",2020-05-01 14:17:00,752.47,752.845,752.41,752.845,200
"TSLA",2020-05-01 14:18:00,752.845,752.845,752.845,752.845,0
"TSLA",2020-05-01 14:19:00,751.135,752.295,751.135,752.295,203
"TSLA",2020-05-01 14:20:00,752.295,752.295,752.295,752.295,0
